date,hour,birth_year,sex,province,city,fp_num
2020-01-01,0,20,female,Seoul,Dobong-gu,19140
2020-01-01,0,20,male,Seoul,Dobong-gu,19950
2020-01-01,0,20,female,Seoul,Dongdaemun-gu,25450
2020-01-01,0,20,male,Seoul,Dongdaemun-gu,27050
2020-01-01,0,20,female,Seoul,Dongjag-gu,28880
2020-01-01,0,20,male,Seoul,Dongjag-gu,30350
2020-01-01,0,20,female,Seoul,Eunpyeong-gu,27750
2020-01-01,0,20,male,Seoul,Eunpyeong-gu,27910
2020-01-01,0,20,female,Seoul,Gangbuk-gu,19490
2020-01-01,0,20,male,Seoul,Gangbuk-gu,21940
2020-01-01,0,20,female,Seoul,Gangdong-gu,27800
2020-01-01,0,20,male,Seoul,Gangdong-gu,30390
2020-01-01,0,20,female,Seoul,Gangnam-gu,45680
2020-01-01,0,20,male,Seoul,Gangnam-gu,43680
2020-01-01,0,20,female,Seoul,Gangseo-gu,37780
2020-01-01,0,20,male,Seoul,Gangseo-gu,38300
2020-01-01,0,20,female,Seoul,Geumcheon-gu,14220
2020-01-01,0,20,male,Seoul,Geumcheon-gu,16100
2020-01-01,0,20,female,Seoul,Guro-gu,26040
2020-01-01,0,20,male,Seoul,Guro-gu,27080
2020-01-01,0,20,female,Seoul,Gwanak-gu,40440
2020-01-01,0,20,male,Seoul,Gwanak-gu,44900
2020-01-01,0,20,female,Seoul,Gwangjin-gu,32070
2020-01-01,0,20,male,Seoul,Gwangjin-gu,32720
2020-01-01,0,20,female,Seoul,Jongno-gu,19360
2020-01-01,0,20,male,Seoul,Jongno-gu,20460
2020-01-01,0,20,female,Seoul,Jung-gu,14710
2020-01-01,0,20,male,Seoul,Jung-gu,14720
2020-01-01,0,20,female,Seoul,Jungnang-gu,23820
2020-01-01,0,20,male,Seoul,Jungnang-gu,25030
2020-01-01,0,20,female,Seoul,Mapo-gu,39280
2020-01-01,0,20,male,Seoul,Mapo-gu,39820
2020-01-01,0,20,female,Seoul,Nowon-gu,34880
2020-01-01,0,20,male,Seoul,Nowon-gu,39500
2020-01-01,0,20,female,Seoul,Seocho-gu,32550
2020-01-01,0,20,male,Seoul,Seocho-gu,31520
2020-01-01,0,20,female,Seoul,Seodaemun-gu,25560
2020-01-01,0,20,male,Seoul,Seodaemun-gu,25540
2020-01-01,0,20,female,Seoul,Seongbuk-gu,29850
2020-01-01,0,20,male,Seoul,Seongbuk-gu,29770
2020-01-01,0,20,female,Seoul,Seongdong-gu,19970
2020-01-01,0,20,male,Seoul,Seongdong-gu,21330
2020-01-01,0,20,female,Seoul,Songpa-gu,48370
